step,episode_reward,epsilon,avg_loss,best_reward,eval_reward
204,2.0,0.9998062,0,2.0,0
402,2.0,0.9996181,0,2.0,0
530,0.0,0.9994965,0,2.0,0
748,3.0,0.9992894,0,3.0,0
893,0.0,0.99915165,0,3.0,0
1061,1.0,0.99899205,0,3.0,0
1190,0.0,0.9988695,0,3.0,0
1373,1.0,0.99869565,0,3.0,0
1606,3.0,0.9984743,0,3.0,0
1838,3.0,0.9982539,0,3.0,0
2087,3.0,0.99801735,0,3.0,0
2225,0.0,0.99788625,0,3.0,0
2356,0.0,0.9977618,0,3.0,0
2489,0.0,0.99763545,0,3.0,0
2695,2.0,0.99743975,0,3.0,0
2829,0.0,0.99731245,0,3.0,0
3078,3.0,0.9970759,0,3.0,0
3211,0.0,0.99694955,0,3.0,0
3392,1.0,0.9967776,0,3.0,0
3648,3.0,0.9965344,0,3.0,0
3884,3.0,0.9963102,0,3.0,0
4027,0.0,0.99617435,0,3.0,0
4159,0.0,0.99604895,0,3.0,0
4330,1.0,0.9958865,0,3.0,0
4532,2.0,0.9956946,0,3.0,0
4744,2.0,0.9954932,0,3.0,0
4930,1.0,0.9953165,0,3.0,0
5111,1.0,0.99514455,0,3.0,0
5242,0.0,0.9950201,0,3.0,0
5568,4.0,0.9947104,0,4.0,0
5756,1.0,0.9945318,0,4.0,0
5947,1.0,0.99435035,0,4.0,0
6079,0.0,0.99422495,0,4.0,0
6245,1.0,0.99406725,0,4.0,0
6376,0.0,0.9939428,0,4.0,0
6539,1.0,0.99378795,0,4.0,0
6747,2.0,0.99359035,0,4.0,0
6962,2.0,0.9933861,0,4.0,0
7091,0.0,0.99326355,0,4.0,0
7270,1.0,0.9930935,0,4.0,0
7468,2.0,0.9929054,0,4.0,0
7650,1.0,0.9927325,0,4.0,0
7786,0.0,0.9926033,0,4.0,0
7962,1.0,0.9924361,0,4.0,0
8140,1.0,0.992267,0,4.0,0
8278,0.0,0.9921359,0,4.0,0
8541,3.0,0.99188605,0,4.0,0
8700,1.0,0.991735,0,4.0,0
8833,0.0,0.99160865,0,4.0,0
8966,0.0,0.9914823,0,4.0,0
9104,0.0,0.9913512,0,4.0,0
9239,0.0,0.99122295,0,4.0,0
9474,3.0,0.9909997,0,4.0,0
9616,0.0,0.9908648,0,4.0,0
9773,1.0,0.99071565,0,4.0,0
9917,0.0,0.99057885,0,4.0,0
10108,1.0,0.9903974,0,4.0,0
10415,4.0,0.99010575,0,4.0,0
10612,1.0,0.9899186,0,4.0,0
10773,1.0,0.98976565,0,4.0,0
10901,0.0,0.98964405,0,4.0,0
11100,1.0,0.989455,0,4.0,0
11287,1.0,0.98927735,0,4.0,0
11523,3.0,0.98905315,0,4.0,0
11724,2.0,0.9888622,0,4.0,0
11858,0.0,0.9887349,0,4.0,0
12089,2.0,0.98851545,0,4.0,0
12353,3.0,0.98826465,0,4.0,0
12576,2.0,0.9880528,0,4.0,0
12706,0.0,0.9879293,0,4.0,0
12966,3.0,0.9876823,0,4.0,0
13144,1.0,0.9875132,0,4.0,0
13278,0.0,0.9873859,0,4.0,0
13658,7.0,0.9870249,0,7.0,0
13794,0.0,0.9868957,0,7.0,0
13977,1.0,0.98672185,0,7.0,0
14174,2.0,0.9865347,0,7.0,0
14336,1.0,0.9863808000000001,0,7.0,0
14469,0.0,0.98625445,0,7.0,0
14606,0.0,0.9861243,0,7.0,0
14740,0.0,0.985997,0,7.0,0
14876,0.0,0.9858678,0,7.0,0
15020,0.0,0.985731,0,7.0,0
15211,1.0,0.98554955,0,7.0,0
15504,4.0,0.9852712,0,7.0,0
15753,3.0,0.98503465,0,7.0,0
15982,2.0,0.9848171,0,7.0,0
16164,1.0,0.9846442,0,7.0,0
16414,3.0,0.9844067,0,7.0,0
16554,0.0,0.9842737,0,7.0,0
16687,0.0,0.98414735,0,7.0,0
16818,0.0,0.9840229,0,7.0,0
16953,0.0,0.98389465,0,7.0,0
17155,2.0,0.98370275,0,7.0,0
17343,1.0,0.98352415,0,7.0,0
17482,0.0,0.9833921,0,7.0,0
17645,1.0,0.98323725,0,7.0,0
17857,2.0,0.98303585,0,7.0,0
18035,1.0,0.98286675,0,7.0,0
18338,4.0,0.9825789,0,7.0,0
18547,2.0,0.98238035,0,7.0,0
18726,1.0,0.9822103,0,7.0,0
18866,0.0,0.9820773,0,7.0,0
19116,3.0,0.9818398,0,7.0,0
19391,4.0,0.98157855,0,7.0,0
19522,0.0,0.9814541,0,7.0,0
19683,0.0,0.98130115,0,7.0,0
19973,5.0,0.98102565,0,7.0,0
20176,2.0,0.9808328,0,7.0,0
20335,0.0,0.98068175,0,7.0,0
20538,1.0,0.9804889,0,7.0,0
20803,4.0,0.98023715,0,7.0,0
20959,1.0,0.98008895,0,7.0,0
21095,0.0,0.97995975,0,7.0,0
21227,0.0,0.97983435,0,7.0,0
21357,0.0,0.97971085,0,7.0,0
21547,2.0,0.97953035,0,7.0,0
21758,2.0,0.9793299,0,7.0,0
22046,3.0,0.9790563,0,7.0,0
22272,2.0,0.9788416,0,7.0,0
22474,1.0,0.9786497,0,7.0,0
22648,1.0,0.9784844,0,7.0,0
22774,0.0,0.9783647,0,7.0,0
22993,2.0,0.97815665,0,7.0,0
23134,0.0,0.9780227,0,7.0,0
23367,2.0,0.97780135,0,7.0,0
23502,0.0,0.9776731,0,7.0,0
23833,4.0,0.97735865,0,7.0,0
24063,2.0,0.97714015,0,7.0,0
